id,serviceId,attrs,ruleKind,unit,setup,fixed,originalRowId,isActive,createdAt,updatedAt
188,180,"{""Sides"":""Single Sided (S/S)"",""Color"":""Color"",""Size"":""A4""}","perUnit",,,,"row_188",true,"2025-09-22T23:20:52.179Z","2025-09-22T23:20:52.179Z"
189,180,"{""Sides"":""Single Sided (S/S)"",""Color"":""Color"",""Size"":""A5""}","perUnit",,,,"row_189",true,"2025-09-22T23:20:52.186Z","2025-09-22T23:20:52.186Z"
190,181,"{""Sides"":""Single Sided (S/S)"",""Color"":""BW""}","perUnit",,,,"row_190",true,"2025-09-22T23:37:32.294Z","2025-09-22T23:37:32.294Z"
191,181,"{""Sides"":""Double Sided (D/S)"",""Color"":""BW""}","perUnit",,,,"row_191",true,"2025-09-22T23:37:32.305Z","2025-09-22T23:37:32.305Z"
192,182,"{""Sides"":""Double Sided (D/S)"",""Color"":""BW""}","perUnit",,,,"row_192",true,"2025-09-22T23:37:51.472Z","2025-09-22T23:37:51.472Z"
193,182,"{""Sides"":""Double Sided (D/S)"",""Color"":""Color""}","perUnit",,,,"row_193",true,"2025-09-22T23:37:51.480Z","2025-09-22T23:37:51.480Z"
194,182,"{""Sides"":""Double Sided (D/S)"",""Color"":""Color+BW""}","perUnit",,,,"row_194",true,"2025-09-22T23:37:51.486Z","2025-09-22T23:37:51.486Z"
195,183,"{""Sides"":""Single Sided (S/S)"",""Color"":""BW"",""Size"":""A4""}","perUnit",,,,"row_195",true,"2025-09-22T23:39:35.287Z","2025-09-22T23:39:35.287Z"
196,183,"{""Sides"":""Single Sided (S/S)"",""Color"":""Color"",""Size"":""A4""}","perUnit",,,,"row_196",true,"2025-09-22T23:39:35.295Z","2025-09-22T23:39:35.295Z"
197,183,"{""Sides"":""Single Sided (S/S)"",""Color"":""BW"",""Size"":""A5""}","perUnit",,,,"row_197",true,"2025-09-22T23:39:35.307Z","2025-09-22T23:39:35.307Z"
198,184,"{""Sides"":""Single Sided (S/S)"",""Color"":""BW""}","perUnit",,,,"row_198",true,"2025-09-22T23:39:59.259Z","2025-09-22T23:39:59.259Z"
199,184,"{""Sides"":""Single Sided (S/S)"",""Color"":""Color""}","perUnit",,,,"row_199",true,"2025-09-22T23:39:59.268Z","2025-09-22T23:39:59.268Z"
